gene_name	Role	MM.driver	n_syn	n_mis	n_non	n_spl	n_ind	qglobal_cv	Frequency	DNDS	DNDS.restr	MUTSIG	ONCODRIVER	FISHHOOK	n.CallBy	CallBy	Tumor_Type	Role_in_Cancer
ABCF1	Unknown	MM	28	8	1	0	2	0.999999883	0.023970498	0	1	0	0	1	2	|DNDr|||FISH	NA	NA
AC004017.1	NA	0	0	0	0	0	3	0.028486241	0.001843884	1	0	0	0	0	1	DNDS||||	NA	NA
AC008686.1	NA	0	0	0	0	0	7	0.000149474	0.004302397	1	0	0	0	0	1	DNDS||||	NA	NA
AC068987.1	NA	0	0	0	0	0	4	0.077723283	0.002458513	1	0	0	0	0	1	DNDS||||	NA	NA
AC093157.1	NA	0	0	1	0	0	5	0.015459311	0.003687769	1	0	0	0	0	1	DNDS||||	NA	NA
ACTB	NA	0	2	18	0	1	1	0.050059761	0.013521819	1	0	0	0	0	1	DNDS||||	NA	NA
ACTG1	Unknown	MM	10	45	3	1	2	3.17e-07	0.037492317	1	1	0	0	1	3	DNDS|DNDr|||FISH	NA	NA
ADAMTS2	NA	0	0	27	1	1	0	0.0816962	0.017824216	1	0	0	0	0	1	DNDS||||	NA	NA
AKT1	NA	0	1	0	2	1	0	0.09216768	0.002458513	0	1	0	0	0	1	|DNDr|||	breast, colorectal, ovarian, NSCLC	oncogene
ARID1A	TSG	MM	3	17	3	1	9	0.230040461	0.020282729	0	0	0	0	0	0	||||	clear cell ovarian carcinoma, RCC, breast	TSG, fusion
ARID2	TSG	MM	4	8	7	2	3	0.01540477	0.014751076	1	1	0	1	0	3	DNDS|DNDr||ONCO|	hepatocellular carcinoma	TSG
ARV1	NA	0	NA	NA	NA	NA	NA	NA	0.00983405	0	0	0	0	1	1	||||FISH	NA	NA
ATG9B	NA	0	2	16	0	1	6	0.045094605	0.015365704	1	0	0	0	0	1	DNDS||||	NA	NA
ATM	TSG	MM	9	56	7	4	7	0.004026576	0.051014136	1	0	0	1	0	2	DNDS|||ONCO|	T-PLL	TSG
ATRX	TSG	MM	1	16	2	0	0	0.999999883	0.011677935	0	0	0	0	0	0	||||	pancreatic neuroendocrine tumours, paediatric GBM	TSG
BCL7A	Oncogene	MM	7	20	0	10	2	1.12e-13	0.023970498	1	1	0	0	0	2	DNDS|DNDr|||	BNHL	fusion
BCLAF1	NA	0	3	6	1	7	0	0.026294662	0.010448679	1	1	0	0	0	2	DNDS|DNDr|||	melanoma, SCC	
BHLHE41	Unknown	MM	6	13	1	0	4	0.688192379	0.014751076	0	0	0	0	0	0	||||	NA	NA
BNIP1	NA	0	NA	NA	NA	NA	NA	NA	0.011677935	0	0	0	0	1	1	||||FISH	NA	NA
BRAF	Oncogene	MM	2	125	0	0	0	0	0.078057775	1	1	1	1	1	5	DNDS|DNDr|MUTS|ONCO|FISH	melanoma, colorectal, papillary thyroid, borderline ovarian, NSCLC, cholangiocarcinoma, pilocytic astrocytoma, Spitzoid tumour, pancreas acinar carcinoma, melanocytic nevus, prostate, gastric	oncogene, fusion
BTG1	TSG	MM	8	17	3	2	1	0.000883156	0.019053473	1	1	0	0	1	3	DNDS|DNDr|||FISH	B-CLL	TSG, fusion
C15orf48	NA	0	NA	NA	NA	NA	NA	NA	0.004917025	0	0	0	1	0	1	|||ONCO|	NA	NA
C1QTNF5	NA	0	NA	NA	NA	NA	NA	NA	0.002458513	0	0	0	1	0	1	|||ONCO|	NA	NA
C21orf49	NA	0	0	0	0	0	4	0.015459311	0.002458513	1	0	0	0	0	1	DNDS||||	NA	NA
C3orf27	NA	0	NA	NA	NA	NA	NA	NA	0.010448679	0	0	0	0	1	1	||||FISH	NA	NA
C8orf76	NA	0	NA	NA	NA	NA	NA	NA	0.003073141	0	0	0	1	0	1	|||ONCO|	NA	NA
CAAP1	NA	0	0	10	0	0	5	0.000897165	0.009219422	1	0	0	0	0	1	DNDS||||	NA	NA
CACNA2D1	NA	0	2	17	2	3	7	0.060160961	0.019053473	1	0	0	0	0	1	DNDS||||	NA	NA
CASP5	NA	0	2	7	0	0	5	0.074067848	0.008604794	1	0	0	0	0	1	DNDS||||	NA	NA
CCND1	Oncogene	MM	20	47	0	0	0	2.71e-10	0.041180086	1	1	0	0	1	3	DNDS|DNDr|||FISH	CLL, B-ALL, breast	oncogene, fusion
CD83	NA	0	5	11	0	2	1	0.009712079	0.011677935	1	0	0	0	0	1	DNDS||||	NA	NA
CDH5	NA	0	NA	NA	NA	NA	NA	NA	0.007375538	0	0	0	1	0	1	|||ONCO|	NA	NA
CDKN1B	TSG	MM	1	9	2	1	3	0.006015791	0.00983405	1	1	0	0	0	2	DNDS|DNDr|||	breast, small intestine neuroendocrine tumours	TSG
CDKN2C	TSG	MM	0	6	0	0	3	0.013987033	0.005531653	1	1	0	0	0	2	DNDS|DNDr|||	glioma, MM	TSG
CHD2	NA	0	2	15	4	3	10	0.016545189	0.020897357	1	1	0	0	0	2	DNDS|DNDr|||	melanoma, large intestine, CLL, monoclonal B lymphocytosis	TSG
CIITA	NA	0	NA	NA	NA	NA	NA	NA	0.017209588	0	0	1	0	0	1	||MUTS||	PMBL, Hodgkin lymphoma	TSG, fusion
CNOT2	NA	0	3	7	1	1	8	0.006245327	0.012292563	1	0	0	0	0	1	DNDS||||	NA	NA
CPSF1	NA	0	0	21	0	0	2	0.030874823	0.014136447	1	0	0	0	0	1	DNDS||||	NA	NA
CREBBP	TSG	MM	4	18	4	3	2	0.358750305	0.019053473	0	0	0	0	0	0	||||	ALL, AML, DLBCL, B-NHL	oncogene, TSG, fusion
CRIPAK	NA	0	1	16	0	0	2	0.002414789	0.011677935	1	0	0	0	0	1	DNDS||||	NA	NA
CRTC1	NA	0	0	8	1	0	4	0.09141296	0.007990166	0	1	0	0	0	1	|DNDr|||	salivary gland mucoepidermoid	oncogene, fusion
CTD-2207O23.10	NA	0	NA	NA	NA	NA	NA	NA	0.003073141	0	0	0	0	1	1	||||FISH	NA	NA
CXCR4	NA	0	3	10	3	0	3	0.012970163	0.011677935	1	1	0	0	0	2	DNDS|DNDr|||	WM	oncogene
CYC1	NA	0	NA	NA	NA	NA	NA	NA	0.004302397	0	0	0	1	0	1	|||ONCO|	NA	NA
CYLD	TSG	MM	0	29	18	4	13	0	0.039336202	1	1	0	1	1	4	DNDS|DNDr||ONCO|FISH	cylindroma	TSG
CYP4X1	NA	0	NA	NA	NA	NA	NA	NA	0.003687769	0	0	0	1	0	1	|||ONCO|	NA	NA
DDX20	NA	0	3	4	1	0	10	0.075872772	0.011063307	1	0	0	0	0	1	DNDS||||	NA	NA
DDX3X	NA	0	1	23	1	3	0	0.006366414	0.017209588	1	1	1	0	0	3	DNDS|DNDr|MUTS||	CLL, medulloblastoma	TSG
DEK	NA	0	1	17	0	0	0	0.000469627	0.011063307	1	1	0	0	0	2	DNDS|DNDr|||	AML	oncogene, fusion
DHX15	NA	0	NA	NA	NA	NA	NA	NA	0.00983405	0	0	1	0	0	1	||MUTS||	NA	NA
DIS3	Oncogene	MM	1	172	2	4	1	0	0.110633067	1	1	1	1	1	5	DNDS|DNDr|MUTS|ONCO|FISH	NA	NA
DLAT	NA	0	1	3	0	1	7	0.093372241	0.007375538	1	0	0	0	0	1	DNDS||||	NA	NA
DNMT3A	TSG	MM	0	11	2	0	3	0.373827096	0.00983405	0	1	0	0	0	1	|DNDr|||	AML	TSG
DTX1	Unknown	MM	6	26	0	0	2	0.004494925	0.020897357	1	1	0	0	1	3	DNDS|DNDr|||FISH	NA	NA
DUSP2	Unknown	MM	25	48	5	12	3	0	0.057160418	1	1	0	0	1	3	DNDS|DNDr|||FISH	NA	NA
EEF1A1	NA	0	NA	NA	NA	NA	NA	NA	0.011063307	0	0	0	0	1	1	||||FISH	NA	NA
EFNA3	NA	0	NA	NA	NA	NA	NA	NA	0.002458513	0	0	1	0	0	1	||MUTS||	NA	NA
EGR1	Oncogene	MM	17	65	0	0	6	0	0.054087277	1	1	0	0	1	3	DNDS|DNDr|||FISH	NA	NA
EHD1	NA	0	2	18	0	0	2	0.013509477	0.013521819	1	0	0	0	0	1	DNDS||||	NA	NA
EP300	TSG	MM	3	17	5	3	3	0.151311117	0.019053473	0	1	0	0	0	1	|DNDr|||	colorectal, breast, pancreatic, AML, ALL, DLBCL	TSG, fusion
FAM104B	NA	0	0	6	0	1	1	0.015428774	0.004917025	1	0	0	0	0	1	DNDS||||	NA	NA
FAM46C	TSG	MM	6	84	7	0	67	0	0.100799017	1	1	0	1	1	4	DNDS|DNDr||ONCO|FISH	NA	NA
FCN2	NA	0	NA	NA	NA	NA	NA	NA	0.005531653	0	0	1	0	0	1	||MUTS||	NA	NA
FGFR3	Oncogene	MM	4	40	1	0	5	3.07e-08	0.030731407	1	1	0	0	0	2	DNDS|DNDr|||	bladder, MM, T-cell lymphoma	oncogene, fusion
FMN2	NA	0	NA	NA	NA	NA	NA	NA	0.030731407	0	0	0	1	0	1	|||ONCO|	NA	NA
FOXF1	NA	0	NA	NA	NA	NA	NA	NA	0.002458513	0	0	0	1	0	1	|||ONCO|	NA	NA
FUBP1	TSG	MM	1	10	3	5	6	1.31e-05	0.015365704	1	1	0	0	0	2	DNDS|DNDr|||	oligodendroglioma	oncogene
FUS	NA	0	14	1	0	0	0	0.001499007	0.009219422	0	1	0	0	0	1	|DNDr|||	liposarcoma, AML, Ewing sarcoma, angiomatoid fibrous histiocytoma, fibromyxoid sarcoma	TSG, fusion
GSE1	NA	0	1	12	3	1	4	0.083358298	0.012907191	1	0	0	0	0	1	DNDS||||	NA	NA
HIST1H1B	Unknown	MM	4	17	0	0	3	0.000897165	0.014751076	1	1	0	0	1	3	DNDS|DNDr|||FISH	NA	NA
HIST1H1C	NA	0	6	19	0	0	3	0.003208132	0.017209588	1	0	0	0	1	2	DNDS||||FISH	NA	NA
HIST1H1D	Unknown	MM	7	20	0	0	1	0.040424949	0.017209588	1	0	0	0	1	2	DNDS||||FISH	NA	NA
HIST1H1E	Oncogene	MM	4	63	0	0	1	0	0.041794714	1	1	0	1	1	4	DNDS|DNDr||ONCO|FISH	NA	NA
HIST1H2AC	NA	0	NA	NA	NA	NA	NA	NA	0.007375538	0	0	0	0	1	1	||||FISH	NA	NA
HIST1H2AG	NA	0	NA	NA	NA	NA	NA	NA	0.00676091	0	0	0	0	1	1	||||FISH	NA	NA
HIST1H2AH	NA	0	NA	NA	NA	NA	NA	NA	0.00676091	0	0	0	0	1	1	||||FISH	NA	NA
HIST1H2AM	NA	0	NA	NA	NA	NA	NA	NA	0.00983405	0	0	0	0	1	1	||||FISH	NA	NA
HIST1H2BF	NA	0	NA	NA	NA	NA	NA	NA	0.005531653	0	0	0	0	1	1	||||FISH	NA	NA
HIST1H2BG	NA	0	NA	NA	NA	NA	NA	NA	0.005531653	0	0	0	0	1	1	||||FISH	NA	NA
HIST1H2BH	NA	0	NA	NA	NA	NA	NA	NA	0.006146281	0	0	0	0	1	1	||||FISH	NA	NA
HIST1H2BK	Unknown	MM	4	11	0	0	2	0.033772524	0.010448679	1	1	0	0	1	3	DNDS|DNDr|||FISH	NA	NA
HIST1H3B	NA	0	NA	NA	NA	NA	NA	NA	0.007375538	0	0	0	0	1	1	||||FISH	glioma	oncogene
HIST1H3D	NA	0	NA	NA	NA	NA	NA	NA	0.011677935	0	0	0	0	1	1	||||FISH	NA	NA
HIST1H3F	NA	0	NA	NA	NA	NA	NA	NA	0.005531653	0	0	0	0	1	1	||||FISH	NA	NA
HIST1H3G	NA	0	NA	NA	NA	NA	NA	NA	0.007375538	0	0	0	0	1	1	||||FISH	NA	NA
HIST1H3I	NA	0	NA	NA	NA	NA	NA	NA	0.007375538	0	0	0	0	1	1	||||FISH	NA	NA
HIST1H3J	NA	0	NA	NA	NA	NA	NA	NA	0.012292563	0	0	0	0	1	1	||||FISH	NA	NA
HIST1H4B	NA	0	NA	NA	NA	NA	NA	NA	0.00676091	0	0	0	0	1	1	||||FISH	NA	NA
HIST1H4E	NA	0	NA	NA	NA	NA	NA	NA	0.007375538	0	0	0	0	1	1	||||FISH	NA	NA
HIST1H4I	NA	0	NA	NA	NA	NA	NA	NA	0.006146281	0	0	0	0	1	1	||||FISH	NHL	fusion
HIST2H2BE	NA	0	NA	NA	NA	NA	NA	NA	0.009219422	0	0	0	0	1	1	||||FISH	NA	NA
HIST4H4	NA	0	NA	NA	NA	NA	NA	NA	0.006146281	0	0	0	0	1	1	||||FISH	NA	NA
HLA-A	NA	0	3	13	2	3	0	0.004012026	0.012907191	1	0	0	0	0	1	DNDS||||	Spitzoid tumour	fusion
HLA-B	NA	0	4	21	0	0	1	0.000260349	0.015980332	1	0	0	0	0	1	DNDS||||	NA	NA
HLA-C	NA	0	8	26	0	0	1	0.000199226	0.021511985	1	0	0	0	1	2	DNDS||||FISH	NA	NA
HUWE1	Unknown	MM	4	48	0	15	3	0.000156063	0.04302397	1	1	0	0	0	2	DNDS|DNDr|||	NA	NA
IDH1	Oncogene	MM	0	11	0	0	0	0.212981809	0.00676091	0	0	0	0	0	0	||||	glioblastoma	oncogene
IDH2	Oncogene	MM	1	5	0	0	0	0.999999883	0.003687769	0	0	0	0	0	0	||||	glioblastoma	oncogene
IFNG	NA	0	0	2	0	0	5	0.033498898	0.004302397	1	0	0	0	0	1	DNDS||||	NA	NA
IGLL5	Unknown	MM	114	264	2	8	11	0	0.245236632	1	1	0	0	0	2	DNDS|DNDr|||	NA	NA
IKBKB	NA	0	NA	NA	NA	NA	NA	NA	0.00983405	0	0	0	1	0	1	|||ONCO|	SMZL	oncogene
INO80E	NA	0	0	1	0	0	5	0.073070493	0.003687769	1	0	0	1	0	2	DNDS|||ONCO|	NA	NA
INTS6	NA	0	2	3	3	3	2	0.053300339	0.007990166	1	0	0	0	0	1	DNDS||||	NA	NA
IQCF6	NA	0	0	2	1	0	3	0.044882717	0.003687769	1	0	0	0	0	1	DNDS||||	NA	NA
IRF1	Unknown	MM	1	8	4	0	0	0.026782537	0.007990166	1	0	1	0	0	2	DNDS||MUTS||	NA	NA
IRF4	Oncogene	MM	2	45	1	0	1	0	0.030116779	1	1	1	1	1	5	DNDS|DNDr|MUTS|ONCO|FISH	MM	oncogene, TSG, fusion
JAM3	NA	0	NA	NA	NA	NA	NA	NA	0.003687769	0	0	1	0	0	1	||MUTS||	NA	NA
KDM3B	NA	0	4	20	4	5	3	0.005556051	0.022126613	1	0	0	0	0	1	DNDS||||	NA	NA
KDM5C	TSG	MM	2	7	3	0	2	0.999999883	0.008604794	0	0	0	0	0	0	||||	clear cell renal carcinoma	TSG
KDM6A	TSG	MM	4	12	3	0	1	0.999999883	0.012292563	0	0	0	0	0	0	||||	renal cell carcinoma, bladder carcinoma, oesophageal SCC, MM, medulloblastoma, T-ALL, other tumour types	oncogene, TSG
