Variant_Classification	Chromosome	Start_Position	End_Position	Arm	frequency	frequency_score	z.score	fdr
Amp	10	1	40200000	10p	0.02	0.02	-10.2	1
Amp	10	40200001	135534747	10q	0.03	0.03	-12.4	1
Amp	11	1	53700000	11p	0.3	0.31	25.3	0
Amp	11	53700001	135006516	11q	0.37	0.38	27.4	0
Amp	12	1	35800000	12p	0.01	0.01	-11.5	1
Amp	12	35800001	133851895	12q	0.01	0.01	-14.7	1
Amp	13	1	19500000	13p	0	0	-10.4	1
Amp	13	19500001	115169878	13q	0.01	0.01	-9.86	1
Amp	14	1	17600000	14p	0	0	-10.4	1
Amp	14	17600001	107349540	14q	0.02	0.03	-11.9	1
Amp	15	1	19000000	15p	0.01	0.01	-9.23	1
Amp	15	19000001	102531392	15q	0.35	0.36	26.3	0
Amp	16	1	36600000	16p	0.02	0.02	-11.5	1
Amp	16	36600001	90354753	16q	0.01	0.02	-10.5	1
Amp	17	1	24000000	17p	0.05	0.06	-5.4	1
Amp	17	24000001	81195210	17q	0.07	0.07	-8.69	1
Amp	18	1	17200000	18p	0.12	0.13	8.01	0.00000000000000163
Amp	18	17200001	78077248	18q	0.12	0.13	5.13	0.000000358
Amp	19	1	26500000	19p	0.51	0.52	51.1	0
Amp	19	26500001	59128983	19q	0.45	0.46	34.9	0
Amp	1	1	125000000	1p	0.02	0.03	-15.4	1
Amp	1	125000001	249250621	1q	0.22	0.23	7.39	0.000000000000193
Amp	20	1	27500000	20p	0.02	0.02	-8.7	1
Amp	20	27500001	63025520	20q	0.03	0.03	-9.82	1
Amp	21	1	13200000	21p	0	0	-10.4	1
Amp	21	13200001	48129895	21q	0.22	0.23	19.1	0
Amp	22	1	14700000	22p	0	0	-10.5	1
Amp	22	14700001	51304566	22q	0.01	0.02	-11.8	1
Amp	2	1	93300000	2p	0.06	0.06	-6.34	1
Amp	2	93300001	243199373	2q	0.05	0.05	-11.1	1
Amp	3	1	91000000	3p	0.36	0.37	31	0
Amp	3	91000001	198022430	3q	0.39	0.39	33.4	0
Amp	4	1	50400000	4p	0.05	0.06	-4.37	1
Amp	4	50400001	191154276	4q	0.07	0.07	-5.92	1
Amp	5	1	48400000	5p	0.35	0.36	41.5	0
Amp	5	48400001	180915260	5q	0.4	0.41	32.1	0
Amp	6	1	61000000	6p	0.18	0.19	7.7	0.0000000000000186
Amp	6	61000001	171115067	6q	0.11	0.13	2.09	0.0424
Amp	7	1	59900000	7p	0.29	0.3	26.7	0
Amp	7	59900001	159138663	7q	0.28	0.29	19.3	0
Amp	8	1	45600000	8p	0.02	0.02	-8.9	1
Amp	8	45600001	146364022	8q	0.04	0.05	-7.68	1
Amp	9	1	49000000	9p	0.47	0.48	55.5	0
Amp	9	49000001	141213431	9q	0.5	0.51	48	0
Del	10	1	40200000	10p	0.05	0.05	-5.86	1
Del	10	40200001	135534747	10q	0.04	0.05	-10.2	1
Del	11	1	53700000	11p	0.02	0.03	-8.84	1
Del	11	53700001	135006516	11q	0.02	0.03	-10.9	1
Del	12	1	35800000	12p	0.1	0.1	0.519	1
Del	12	35800001	133851895	12q	0.08	0.08	-7.33	1
Del	13	1	19500000	13p	0.03	0.03	-6.64	1
Del	13	19500001	115169878	13q	0.39	0.39	39.3	0
Del	14	1	17600000	14p	0.03	0.03	-7.02	1
Del	14	17600001	107349540	14q	0.15	0.16	2.71	0.0297
Del	15	1	19000000	15p	0.02	0.02	-7.84	1
Del	15	19000001	102531392	15q	0.01	0.02	-11.2	1
Del	16	1	36600000	16p	0.11	0.11	-0.518	1
Del	16	36600001	90354753	16q	0.18	0.18	10.4	0
Del	17	1	24000000	17p	0.1	0.11	0.437	1
Del	17	24000001	81195210	17q	0.06	0.06	-9.32	1
Del	18	1	17200000	18p	0.06	0.06	-1.84	1
Del	18	17200001	78077248	18q	0.04	0.05	-5.49	1
Del	19	1	26500000	19p	0.01	0.03	-7.78	1
Del	19	26500001	59128983	19q	0.02	0.03	-10.3	1
Del	1	1	125000000	1p	0.08	0.08	-9.73	1
Del	1	125000001	249250621	1q	0.04	0.05	-11.1	1
Del	20	1	27500000	20p	0.09	0.09	0.724	1
Del	20	27500001	63025520	20q	0.07	0.07	-4.97	1
Del	21	1	13200000	21p	0.03	0.03	-6.81	1
Del	21	13200001	48129895	21q	0.03	0.04	-6.45	1
Del	22	1	14700000	22p	0.02	0.02	-7.41	1
Del	22	14700001	51304566	22q	0.12	0.12	0.386	1
Del	2	1	93300000	2p	0.03	0.03	-10.6	1
Del	2	93300001	243199373	2q	0.03	0.03	-12.7	1
Del	3	1	91000000	3p	0.02	0.03	-9.02	1
Del	3	91000001	198022430	3q	0.02	0.03	-9.6	1
Del	4	1	50400000	4p	0.09	0.1	0.482	1
Del	4	50400001	191154276	4q	0.08	0.09	-4.03	1
Del	5	1	48400000	5p	0.02	0.03	-5.92	1
Del	5	48400001	180915260	5q	0.02	0.04	-9.31	1
Del	6	1	61000000	6p	0.03	0.04	-9.52	1
Del	6	61000001	171115067	6q	0.1	0.11	0.343	1
Del	7	1	59900000	7p	0.03	0.05	-6.21	1
Del	7	59900001	159138663	7q	0.03	0.04	-9.12	1
Del	8	1	45600000	8p	0.23	0.24	19.6	0
Del	8	45600001	146364022	8q	0.14	0.14	3.88	0.000579
Del	9	1	49000000	9p	0.02	0.03	-6.12	1
Del	9	49000001	141213431	9q	0.01	0.02	-8.78	1
