chr	start	end	cytoband	lesion	q.values	code
chr1	143990000	145009999	1q21.1	Amp	1.5548e-112	Amp_1q21.1
chr1	151990000	153009999	1q21.3	Amp	0.000000000000000000000000000000000000000000000000000091635	Amp_1q21.3
chr1	246990000	248009999	1q44	Amp	1.2433e-62	Amp_1q44
chr2	88990000	90009999	2p11.2	Amp	0.0000000015869	Amp_2p11.2
chr2	159990000	170009999	2q24.3	Amp	0.0000000056028	Amp_2q24.3
chr2	178990000	186009999	2q32.1	Amp	0.0000016202	Amp_2q32.1
chr3	168990000	170009999	3q26.2	Amp	0.0000032383	Amp_3q26.2
chr4	68990000	71009999	4q13.2	Amp	0.024714	Amp_4q13.2
chr5	1	1009999	5p15.33	Amp	0.0057742	Amp_5p15.33
chr5	48990000	63009999	5q11.1	Amp	0.00002514	Amp_5q11.1
chr5	175990000	180009999	5q35.2	Amp	0.0002143	Amp_5q35.2
chr6	6990000	8009999	6p24.3	Amp	0.000019744	Amp_6p24.3
chr6	60990000	67009999	6q11.1	Amp	0.0000011466	Amp_6q11.1
chr7	77990000	91009999	7q21.11	Amp	0.0000000000000027745	Amp_7q21.11
chr8	126990000	130009999	8q24.21	Amp	5.2715e-78	Amp_8q24.21
chr9	1	17009999	9p24.3	Amp	0.000000000017291	Amp_9p24.3
chr9	43990000	46009999	9p11.2	Amp	0.0041386	Amp_9p11.2
chr9	126990000	141009999	9q34.13	Amp	0.0011315	Amp_9q34.13
chr11	3990000	5009999	11p15.4	Amp	0.00000000000000000000000000023468	Amp_11p15.4
chr11	53990000	56009999	11q11	Amp	0.00000000000000000000000000000591	Amp_11q11
chr11	112990000	134009999	11q24.1	Amp	0.00019887	Amp_11q24.1
chr14	21990000	23009999	14q11.2	Amp	0.00000000000000000000045906	Amp_14q11.2
chr14	104990000	107009999	14q32.33	Amp	0.0000000000000000000000000000000050730076255	Amp_14q32.33
chr15	19990000	22009999	15q11.1	Amp	7.5348e-157	Amp_15q11.1
chr15	83990000	102009999	15q26.3	Amp	0.000000000000000000000000000000010189	Amp_15q26.3
chr17	56990000	58009999	17q22	Amp	0.01314	Amp_17q22
chr19	1	1009999	19p13.3	Amp	0.0000000000000067231	Amp_19p13.3
chr19	7990000	9009999	19p13.2	Amp	0.00000022883	Amp_19p13.2
chr19	26990000	28009999	19q11	Amp	0.00000000000000000000062081	Amp_19q11
chr21	9990000	11009999	21p11.2	Amp	0.00000000000000013877	Amp_21p11.2
chr1	50880000	51439999	1p32.3	Del	0.000000000000003794	Del_1p32.3
chr1	92950000	93299999	1p22.1	Del	6.1333e-146	Del_1p22.1
chr1	117750000	118149999	1p12	Del	5.1055e-98	Del_1p12
chr2	86920000	89069999	2p11.2	Del	0.000000000009742	Del_2p11.2
chr2	171510000	178079999	2q31.1	Del	0.00015706	Del_2q31.1
chr2	241900000	242049999	2q37.3	Del	0.000017656	Del_2q37.3
chr6	160930000	161769998	6q26	Del	0.00000000000000000000000000000000000000000019376	Del_6q26
chr7	1	6019999	7p22.2	Del	0.00000039188	Del_7p22.2
chr7	55930000	57029999	7p11.2	Del	0.0000000038754	Del_7p11.2
chr8	10690000	12039999	8p23.1	Del	0.000000633350000009346	Del_8p23.1
chr8	20850000	22009999	8p21.3	Del	0.00000001301	Del_8p21.3
chr8	126960000	129169999	8q24.21	Del	0.000531402471	Del_8q24.21
chr9	20990000	22449999	9p21.3	Del	0.08662	Del_9p21.3
chr10	1	3109999	10p15.3	Del	0.071319	Del_10p15.3
chr10	103920000	104019999	10q24.32	Del	0.0000000030026	Del_10q24.32
chr10	134940000	135049999	10q26.3	Del	0.00021877	Del_10q26.3
chr11	100860000	102189999	11q22.1	Del	0.0000000000075783	Del_11q22.1
chr12	11710000	14519998	12p13.2	Del	0.000021503	Del_12p13.2
chr12	123930000	124029999	12q24.31	Del	0.00001193	Del_12q24.31
chr13	1	21149999	13q12.11	Del	5.4179e-125	Del_13q12.11
chr13	47470001	49069999	13q14.2	Del	0.000000000000000000000000000000000039487	Del_13q14.2
chr14	73920000	75129999	14q24.3	Del	6.2759e-89	Del_14q24.3
chr14	105990000	107349540	14q32.33	Del	0	Del_14q32.33
chr16	860000	1039999	16p13.3	Del	0.00000000000010026	Del_16p13.3
chr16	33960000	46509998	16p11.2	Del	0.000000019894	Del_16p11.2
chr16	49860000	51169999	16q12.1	Del	1.6282e-60	Del_16q12.1
chr16	69990000	71279999	16q22.2	Del	0.0000000000016715	Del_16q22.2
chr16	88920000	89169999	16q24.3	Del	0.000000000000000000000017948	Del_16q24.3
chr17	7970000	8039999	17p13.1	Del	0.0000000559	Del_17p13.1
chr20	1	4129999	20p13	Del	0.021709	Del_20p13
chr20	43970000	44039999	20q13.12	Del	0.00052786	Del_20q13.12
chr21	1	10909998	21p11.2	Del	7.6246e-97	Del_21p11.2
chr22	21990000	23169999	22q11.22	Del	6.1576e-221	Del_22q11.22
chr22	47760000	51009999	22q13.32	Del	0.000000000001288	Del_22q13.32
